Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
torpidsNLserverius,NL,1632,4934,217.12.208.117,torpidsnl.uaservers.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.3.3-alpha on Linux,0,0,2014-11-29,ITLDC-NL- UA,21100,6250,[2a00:1ca8:a7::1bb]:993
UWashingtonCSE,US,1631,186,128.208.2.233,tor-exit-node.cs.washington.edu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2014-04-08,WASHINGTON-AS - University of Washington- US,73,5680,None
berrycup,US,1630,19,18.82.3.196,berrycup.mit.edu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2015-02-12,MIT-GATEWAYS - Massachusetts Institute of Technology- US,3,5450,None
tortoke,DE,1630,45,188.40.41.115,tor.toke.de,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2015-12-29,HETZNER-AS- DE,24940,4860,[2a01:4f8:173:8c4::115]:443
darknode2,US,1622,91,104.248.201.82,104.248.201.82,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.3.4.8 on Linux,0,0,2018-09-23,DIGITALOCEAN-ASN - DigitalOcean- LLC- US,14061,11000,None
ipjungle,DE,1620,1338,195.30.107.220,195.30.107.220,443,None,0,0,1,1,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2016-01-05,SPACENET SpaceNET AG- DE,5539,4430,None
Karai,CR,1620,96,200.122.181.101,200.122.181.101,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2018-01-11,RADIOGRAFICA COSTARRICENSE- CR,3790,3760,None
tornode,US,1619,121,104.248.192.210,104.248.192.210,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.3.4.8 on Linux,0,0,2018-09-22,DIGITALOCEAN-ASN - DigitalOcean- LLC- US,14061,11400,None
hackbloc1,US,1618,370,173.255.250.231,cooperq.com,143,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.14 on Linux,0,0,2016-12-31,LINODE-AP Linode- LLC- US,63949,6370,None
angeltest6,LV,1617,215,185.61.149.67,185.61.149.67,443,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2018-09-04,MAKONIX- LV,52173,13300,None
wojak,SE,1617,20,158.174.14.94,h-14-94.A357.priv.bahnhof.se,9001,None,0,0,1,0,0,1,1,1,1,Tor 0.3.4.7-rc on Linux,0,0,2018-06-13,BAHNHOF http://www.bahnhof.net/- SE,8473,13300,None
montrealonion,CA,1614,109,144.217.60.211,ip211.ip-144-217-60.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2016-11-12,OVH- FR,16276,3480,None
vandergriff,RO,1613,110,185.100.85.132,185.100.85.132,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2015-12-09,FLOKINET- SC,200651,5920,None
Priya1,US,1610,834,23.254.253.55,hwsrv-207515.hostwindsdns.com,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.4.5-rc on Linux,0,0,2018-06-21,HOSTWINDS - Hostwinds LLC.- US,54290,8050,[2607:5500:3000:383::2]:443
spark,CH,1610,172,81.17.27.136,81.17.27.136,9001,8080,0,1,1,0,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2018-09-20,PLI-AS- CH,51852,8560,None
Unnamed,NL,1609,277,178.85.3.116,178-85-3-116.dynamic.upc.nl,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.2.10 on Linux,0,0,2016-02-27,LGI-UPC formerly known as UPC Broadband Holding B.V.- AT,6830,4140,None
peep,DE,1608,816,195.201.94.113,static.113.94.201.195.clients.your-server.de,443,None,0,0,1,1,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2018-05-20,HETZNER-AS- DE,24940,4880,[2a01:4f8:1c0c:6f8c::1]:443
BassBeatsMelody,NL,1607,3016,185.82.203.209,dedi20311.hostsailor.com,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.3.6 on Linux,0,0,2016-11-20,HS- AE,60117,5890,None
pkswitchcph,DK,1607,998,212.237.100.250,customer-212-237-100-250.ip4.gigabit.dk,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.3.7 on FreeBSD,0,0,2018-03-09,GIGABIT-- DK,60876,11100,None
ENC772461607de21c13,MD,1605,1205,178.17.171.114,772461607de21c13.encrypt.co.il,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.1.10 on Linux,0,0,2017-10-19,TRABIA trabia network- MD,43289,4010,[2a00:1dc0:caff:b0::93c4]:443
kellertur,NL,1605,2971,51.15.42.19,19-42-15-51.rev.cloud.scaleway.com,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.15 on Linux,0,0,2017-12-17,AS12876- FR,12876,4450,None
wpiBlitzcrank,US,1604,4719,23.165.192.253,eden-pc.cust.sea.wolfbroadband.com,59999,None,0,0,1,1,0,1,1,1,1,Tor 0.3.2.10 on Linux,0,0,2018-01-25,TEEMO-AS-AP Bandle City Internet- US,23738,5220,None
MrRelay,RO,1600,341,185.225.17.60,185-225-17-60.mivocloud.com,443,None,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2018-09-05,MIVOCLOUD- MD,39798,10500,[2a0a:c800:1:5::2e]:443
